Dataset,Method,Safe,Time,Domain,Cut
cifar_cnn_a_mix,beta,42.5,4.783835294117647,24965.58823529412,0.0
cifar_cnn_a_mix,gcp,47.5,9.70374105263158,27779.75,0.0
cifar_cnn_a_mix,biccos_only_cs,47.0,6.688868085106383,11832.116279069767,118.06976744186046
cifar_cnn_a_mix,biccos_all,47.0,7.876484042553192,12238.093023255815,121.25581395348837
cifar_cnn_a_mix,biccos_all_selective_mts_plus_gcp,48.5,10.318551546391753,10992.282608695652,597.5652173913044
cifar_cnn_a_mix,biccos_all_selective_mts,47.0,8.912240425531916,15775.581395348838,160.7906976744186
cifar_cnn_a_mix4,beta,51.0,0.7951656862745098,1565.9130434782608,0.0
cifar_cnn_a_mix4,gcp,54.5,3.8203853211009173,18271.2,0.0
cifar_cnn_a_mix4,biccos_only_cs,55.0,6.966400000000001,26608.612903225807,154.25806451612902
cifar_cnn_a_mix4,biccos_all,54.0,2.8750018518518514,8253.620689655172,143.6206896551724
cifar_cnn_a_mix4,biccos_all_selective_mts_plus_gcp,56.0,5.237609821428571,10059.787878787878,752.3333333333334
cifar_cnn_a_mix4,biccos_all_selective_mts,55.0,5.523491818181818,18754.354838709678,149.32258064516128
cifar_cnn_a_adv,beta,45.5,5.170186813186813,63809.77777777778,0.0
cifar_cnn_a_adv,gcp,48.5,4.784790721649484,28558.708333333332,0.0
cifar_cnn_a_adv,biccos_only_cs,47.5,4.8833673684210535,18613.68181818182,169.0
cifar_cnn_a_adv,biccos_all,47.5,5.008787368421053,20134.272727272728,159.54545454545453
cifar_cnn_a_adv,biccos_all_selective_mts_plus_gcp,49.0,4.262720408163266,9902.96,506.88
cifar_cnn_a_adv,biccos_all_selective_mts,47.0,4.26145744680851,17912.14285714286,153.38095238095238
cifar_cnn_a_adv4,beta,46.5,0.7805602150537635,14873.888888888889,0.0
cifar_cnn_a_adv4,gcp,48.0,1.4787343750000002,15313.583333333334,0.0
cifar_cnn_a_adv4,biccos_only_cs,48.0,1.2713489583333333,7835.5,131.08333333333334
cifar_cnn_a_adv4,biccos_all,47.5,1.1535894736842105,7470.909090909091,132.0909090909091
cifar_cnn_a_adv4,biccos_all_selective_mts_plus_gcp,48.5,1.817163917525773,6730.615384615385,691.0
cifar_cnn_a_adv4,biccos_all_selective_mts,47.5,1.1237031578947367,7350.0,125.72727272727273
cifar_cnn_b_adv,beta,47.5,6.3974210526315805,18106.469387755104,0.0
cifar_cnn_b_adv,gcp,49.0,10.07349081632653,17309.634615384617,0.0
cifar_cnn_b_adv,biccos_only_cs,52.0,8.14783173076923,9803.965517241379,163.06896551724137
cifar_cnn_b_adv,biccos_all,52.5,10.13838761904762,9012.677966101695,198.54237288135593
cifar_cnn_b_adv,biccos_all_selective_mts_plus_gcp,54.5,17.757308256880734,12782.825396825398,332.1746031746032
cifar_cnn_b_adv,biccos_all_selective_mts,51.5,10.372970873786409,10176.578947368422,160.3859649122807
cifar_cnn_b_adv4,beta,56.0,3.2024258928571436,20987.409090909092,0.0
cifar_cnn_b_adv4,gcp,58.5,8.27372564102564,37661.92592592593,0.0
cifar_cnn_b_adv4,biccos_only_cs,60.0,3.18777,7545.833333333333,91.2
cifar_cnn_b_adv4,biccos_all,60.5,4.38556694214876,11585.870967741936,90.90322580645162
cifar_cnn_b_adv4,biccos_all_selective_mts_plus_gcp,62.0,9.639650806451614,17886.029411764706,351.8529411764706
cifar_cnn_b_adv4,biccos_all_selective_mts,59.5,3.62636974789916,8609.172413793103,85.13793103448276
mnist_cnn_a_adv,beta,71.0,3.535354929577465,3145.1481481481483,0.0
mnist_cnn_a_adv,gcp,70.5,7.345768085106384,5469.289719626168,0.0
mnist_cnn_a_adv,biccos_only_cs,76.5,5.6104418300653585,3330.672268907563,113.36134453781513
mnist_cnn_a_adv,biccos_all,76.5,8.860390849673204,3543.3949579831933,132.98319327731093
mnist_cnn_a_adv,biccos_all_selective_mts_plus_gcp,75.5,13.377114569536424,2857.8888888888887,622.5042735042736
mnist_cnn_a_adv,biccos_all_selective_mts,76.5,9.204311764705883,3394.672268907563,129.7983193277311
oval22,beta,10.0,23.262819999999998,36299.41176470588,0.0
oval22,gcp,12.5,32.126236,13182.318181818182,0.0
oval22,biccos_only_cs,11.0,18.755681818181817,10589.315789473685,147.94736842105263
oval22,biccos_all,10.5,17.23317619047619,7377.777777777777,134.83333333333334
oval22,biccos_all_selective_mts_plus_gcp,13.0,59.8434923076923,20937.956521739132,5718.173913043478
oval22,biccos_all_selective_mts,10.5,15.992295238095236,6219.555555555556,129.61111111111111
cifar100,beta,59.5,15.488510084033614,1886.0721649484535,0.0
cifar100,gcp,59.5,19.321667226890757,1884.020618556701,0.0
cifar100,biccos_only_cs,62.5,12.742883199999998,1465.009708737864,128.75728155339806
cifar100,biccos_all,61.5,12.18670406504065,892.1188118811881,147.92079207920793
cifar100,biccos_all_selective_mts_plus_gcp,60.5,24.819953719008264,729.8888888888889,142.989898989899
cifar100,biccos_all_selective_mts,62.5,13.5792448,1216.495145631068,145.75728155339806
tinyimagenet,beta,67.5,28.878298518518516,906.6967213114754,0.0
tinyimagenet,gcp,67.0,31.60173731343283,809.3801652892562,0.0
tinyimagenet,biccos_only_cs,70.0,13.84689857142857,902.9763779527559,134.99212598425197
tinyimagenet,biccos_all,70.0,17.80557642857143,896.5196850393701,169.41732283464566
tinyimagenet,biccos_all_selective_mts_plus_gcp,67.0,40.35800298507463,401.6198347107438,121.7603305785124
tinyimagenet,biccos_all_selective_mts,70.0,16.32836142857143,874.0551181102362,181.53543307086613
